username, created_at, lng, lat, text
amykuantan, Fri Apr 24 06:21:28 +0000 2020, 103.216632, 3.828810, Hebatnya sebuah percintaan. Pale butttt 
masroor_alam, Fri Apr 24 06:21:31 +0000 2020, 85.102038, 25.569474, @ArvindKejriwal @RanaAyyub @KhanAmanatullah Dear Arvind kejriwal look into the matter.And Amanat bhai u plz tak… https://t.co/uLOwQVhFL5 
keithflxc, Fri Apr 24 06:21:34 +0000 2020, 121.400475, 12.704537, HOMICIDE?????! OKAY LANG KAYO!!!!???? 
BbwEntertainmt, Fri Apr 24 06:21:45 +0000 2020, -83.099288, 42.352787, @Yorki___ Lol no one morning it was a gang of police out there giving tickets 😭😭😭 I’m like it’s about fuckin time.… https://t.co/3b2ETFTBHC 
efosar, Fri Apr 24 06:22:14 +0000 2020, 3.318066, 6.590611, @sunrisedailynow To lockdown interstate is to block the food supply chain though, but the new generation of inters… https://t.co/6cKxF5hStf 
SalauddinQuadr1, Fri Apr 24 06:22:36 +0000 2020, 86.504196, 21.051249, @Mdsahidhossai13 @SpBhadrak Thank you sir bhadrak Police 
TrevorMerriden, Fri Apr 24 06:22:42 +0000 2020, -0.320442, 51.752440, @HAblett Lovely pics. Did the police believe your story? 😉 
ErkamranHussain, Fri Apr 24 06:22:47 +0000 2020, 75.152091, 33.865125, S.M.C worker beaten by police without any reason I questioned junaid matto mayor of Srinagar what is happening her… https://t.co/c2EEjLVU50 
AmaanTangsal, Fri Apr 24 06:22:50 +0000 2020, 75.853237, 17.774206, @solapurpolice @rakesha93871794 @DGPMaharashtra @SpSolapurRural @AnilDeshmukhNCP @CMOMaharashtra @MahaCyber1 Very n… https://t.co/Hhab9SUX5t 
chandra88266, Fri Apr 24 06:22:52 +0000 2020, 77.095086, 28.638489, Salute 
eyeswid42617349, Fri Apr 24 06:23:00 +0000 2020, 72.840167, 19.106974, @MumbaiPolice It’s at Majithia Apartment Compound,Behind Kotak Mahindra Bank , Behind Irla Nursing Home, Irla, S.V.… https://t.co/ZoL4IOkdoG 
PrakkashSingh3, Fri Apr 24 06:23:13 +0000 2020, 72.874244, 19.174140, Respected Mumbai police I would like inform you that I'm going to Doctors clinic in emergency from Bhakti park to S… https://t.co/ceKhBfdfwN 
aguycalledJonny, Fri Apr 24 06:23:18 +0000 2020, -1.787248, 53.712829, We have a blackbird that’s taught itself to mimic 2 kinds of police sirens and it makes me smile every time he/she fires it up 
RamzanB33765285, Fri Apr 24 06:23:18 +0000 2020, 72.789105, 21.171369, @Divya_Bhaskar Agar bahar police rokegi to kya  krega karigar .....,Iske liye pass ki jarurat...? 
synap001, Fri Apr 24 06:23:23 +0000 2020, -84.503066, 34.110776, @nanditathhakur TN police rocks 👏👏 
n_mohl, Fri Apr 24 06:23:46 +0000 2020, 28.017702, -25.455303, Wow!!! 
cksvvx, Fri Apr 24 06:24:10 +0000 2020, 101.653675, 3.032925, Gila kek rm1000 
NatalieMBunting, Fri Apr 24 06:24:13 +0000 2020, -1.011529, 50.910035, Lovely words from @TheLawSociety which from reading my feed this morning, have been said at the perfect time. Today… https://t.co/9xcTlqzIVc 
danielmarcevans, Fri Apr 24 06:24:30 +0000 2020, 55.551172, 24.993462, @jonathangard I think they’ll have police patrols there tbh 
waynedamonium, Fri Apr 24 06:24:58 +0000 2020, 101.649412, 3.294643, #stayindoors #virtualcake 
pdxpolicelog, Fri Apr 24 06:25:02 +0000 2020, -122.620404, 45.560242, NOISE DISTURBANCE at NE 42ND AVE / NE SUMNER ST, PORT [Portland Police #PP20000132888] 23:16 #pdx911 
pdxpolicelog, Fri Apr 24 06:26:01 +0000 2020, -122.621663, 45.536341, SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 4000 NE HANCOCK ST, PORT [Portland Police #PP20000132885] 23:22 #pdx911 
kellysusan20, Fri Apr 24 06:26:11 +0000 2020, -2.203869, 52.526056, @OwenJones84 Don’t stand so close to me Police 
itsanirban420, Fri Apr 24 06:26:52 +0000 2020, 72.140561, 23.604496, Thanks for the reply.. But I can't connect to  Keshpur police station. Given contact number is not reachable. Could… https://t.co/NGNpC1kU2i 
pdxpolicelog, Fri Apr 24 06:27:02 +0000 2020, -122.590608, 45.479338, NOISE DISTURBANCE at 7000 SE WOODSTOCK BLVD, PORT [Portland Police #PP20000132894] 23:00 #pdx911 
Master_notchief, Fri Apr 24 06:27:06 +0000 2020, 73.884382, 18.520764, @JOGDANDUTTAM @arifaajakia @MumbaiPolice No point in tagging that incompetent and estranged police force. They're b… https://t.co/8C0S6uFiex 
Stevemulwa9, Fri Apr 24 06:27:17 +0000 2020, 37.756029, 0.696920, Shida ni pesa boss man @MajimajiKenya if only the government can provide free Quarantines no one can think of rukar… https://t.co/0ZliUoDsb2 
khaplang_kai, Fri Apr 24 06:27:32 +0000 2020, 90.530864, 26.499438, Epic idea 
SouthwickMP, Fri Apr 24 06:27:36 +0000 2020, 145.053135, -37.972566, What kind of monster films and mocks a dying police officer as they call for help? This disgusting individual shou… https://t.co/8hv654NW9n 
speechlessjay9, Fri Apr 24 06:28:03 +0000 2020, 7.031275, 4.824630, @becky_ejike @maestroroy @drpenking Madam the last thing to do is to argue with you, police officers attached to a… https://t.co/2fukHtxHqh 
PauldB48, Fri Apr 24 06:28:09 +0000 2020, 28.214937, -25.944407, @SittertVal @TheoDJager @Leon_Schreib @ThokoDidiza Are you bloody stupid? How do you think the food change works? I… https://t.co/Zal7bKBGXs 
ShafiqKhan_lko, Fri Apr 24 06:28:10 +0000 2020, 80.884408, 26.825170, #islmophobia_in_india 
bangalorerobot, Fri Apr 24 06:28:18 +0000 2020, 77.558448, 12.923115, @iAbhinayD 😆😆👍👍Hats off to TN Police for the Novel #COVIDIOTS treatment  therapy!! 😄💪🙏 
NischelanN, Fri Apr 24 06:28:35 +0000 2020, 30.972580, -29.900636, 😂 sneaky but effective. 
pdxpolicelog, Fri Apr 24 06:29:02 +0000 2020, -122.660537, 45.521119, PREMISE CHECK at 200 SE GRAND AVE, PORT [Portland Police #PP20000132897] 23:17 #pdx911 
VijayPa79512063, Fri Apr 24 06:29:07 +0000 2020, 73.910077, 18.508161, Its Very Because there is no wrong words useing but u guys are doing wrong...Its all managed and u guys also liste… https://t.co/IIkEKtJ5AU 
DavidSavage63, Fri Apr 24 06:29:26 +0000 2020, 149.129783, -35.313980, @_evelynrae I have unfortunately met many scumbags in my Police &amp; war crimes investigations career including rapist… https://t.co/BoNc068Bh4 
SaluteTheBlue, Fri Apr 24 06:29:40 +0000 2020, -157.826000, 21.309000, NEVER FORGET OFFICER DAN WALTERS: Rest in eternal peace HERO. The San Diego Police Department lost another hero who… https://t.co/5unBqtuTIH 
rohisuthar, Fri Apr 24 06:29:47 +0000 2020, 72.874244, 19.174140, 🤣🤣🤣👌🏻👌🏻 
eyeswid42617349, Fri Apr 24 06:29:54 +0000 2020, 72.874244, 19.174140, @MumbaiPolice @CPMumbaiPolice @mybmcwardKW @mybmc @AUThackeray @CMOMaharashtra Jusrisdiction- Juhu Police Station 
kaizenshinobi, Fri Apr 24 06:29:54 +0000 2020, 101.686968, 3.138874, Pagi ke malam? Kalau malam memang sengaja cari pasal. Pagi boleh je hantar cake. Lalamove ada, grab ada.Kena seda… https://t.co/hRDeBuvDWi 
naeklopez, Fri Apr 24 06:30:07 +0000 2020, 120.340247, 14.858850, Miss u USTe 
Candolime, Fri Apr 24 06:30:21 +0000 2020, 73.817820, 15.587211, The job of the police should be to adhere to social distancing . They have no business to shut shops and inconvenie… https://t.co/aSDVc013Rz 
Kashmir_Weather, Fri Apr 24 06:30:33 +0000 2020, 75.152091, 33.865125, @sriram_kartik @ANI @JmuKmrPolice As per many local news sources here, he was released by them after few hours of h… https://t.co/msAKq1jOOn 
